[文學]
三國演義,羅貫中,中國古典名著，描寫魏蜀吳三國興衰的歷史小說。
紅樓夢,曹雪芹,一部反映封建社會貴族家庭興衰的文學經典。
荷馬史詩,荷馬,古希臘時期圖景的再現。
聖經,作者不詳,亞伯拉罕諸教的宗教經典。
天方夜譚,松木功,古代阿拉伯民間故事集。
羅密歐與茱麗葉,沙士比亞,演繹悲劇愛情的詩歌。
變形記,卡夫卡,關於人性與孤獨的象徵主義小說。
小王子,聖修伯里,寓意深遠的童話哲學故事。
老人與海,海明威,描述一位老漁夫與大魚搏鬥的堅毅故事。
罪與罰,陀思妥耶夫斯基,探索罪惡與救贖的經典文學作品。

[科技]
C++入門,王小明,初學者學習C++程式設計的入門書。
演算法,陳建良,介紹常見演算法原理與實作。
人工智慧導論,李開復,人工智慧基礎與應用介紹。
資料結構實戰,林宜君,圖解與範例並行的資料結構教材。
機器學習概論,吳恩達,深入淺出的機器學習入門書。
Python入門,陳信宏,適合初學者的 Python 教材。
Linux系統管理,周伯通,教你如何操作與管理 Linux。
網頁設計,張雅婷,HTML/CSS/JS 的基礎教學。
作業系統概論,黃世昌,說明 OS 運作原理與實作方式。
程式設計邏輯,王俊凱,提升問題解決的邏輯思維能力。

[歷史]
史記,司馬遷,記錄上古至漢武帝初年的歷史巨著。
資治通鑑,司馬光,中國編年體通史代表作。
大秦帝國,孫皓暉,以小說形式描繪秦朝興起過程。
世界簡史,H.G.威爾斯,全球歷史的大視野梳理。
日本史,石田進,從原始時代到現代的日本歷史。
二戰秘聞,張國忠,揭秘二戰中的重要事件與人物。
中國近代史,蔣廷黻,解析中國由帝制轉向現代國家的進程。
美國獨立戰爭,湯瑪士潘恩,獨立宣言與民主誕生的歷史。
歐洲中世紀,愛德華吉本,中古歐洲文化與政治概況。
台灣史話,連橫,探討台灣從荷治時代至日治時代的歷史。

[哲學]
理想國,柏拉圖,探討正義與國家本質的經典對話錄。
尼采選集,尼采,生命意志與超人哲學的體現。
沉思錄,奧勒留,斯多葛派皇帝的內在反思。
純粹理性批判,康德,現代哲學的基石之作。
道德經,老子,道家哲學核心文獻。
形上學,亞里斯多德,關於存在的本質與邏輯推理。
存在與時間,海德格,20世紀存在主義代表作。
論語,孔子,儒家學說基本經典。
人類理解論,洛克,探討認識與心靈本質。
社會契約論,盧梭,政府與人民間契約的哲學探討。

[藝術]
藝術的故事,龐費爾,一本讓藝術變得親近的經典。
藝術概論,江漢,藝術基本概念與形式介紹。
現代設計史,王力宏,設計潮流與流派的歷史演變。
西洋美術史,羅蘭,從古典到現代的西方藝術發展。
書法藝術,王羲之,書法的技巧與審美。
建築美學,安藤忠雄,空間與形式的極簡之美。
中國繪畫史,張大千,從宋元明清到現代的繪畫發展。
攝影構圖學,趙玉林,掌握構圖技巧提升攝影作品。
雕塑藝術,米開朗基羅,雕塑巨匠的技法與作品分析。
音樂欣賞,貝多芬,從古典到現代的音樂作品導覽。

[商業]
從0到1,彼得提爾,創新與創業的黃金思維。
富爸爸窮爸爸,羅勃特清崎,理財與投資啟蒙之作。
經濟學原理,曼昆,最通俗的經濟學入門教材。
行銷管理,菲利浦科特勒,市場行銷理論與策略應用。
財務自由之路,博多舍費爾,掌握財務管理的實用技巧。
創業維艱,本霍羅維茲,創業者必讀的真實經歷與建議。
商業模式新生代,亞歷山大,創新商業模式的可視化工具書。
談判的藝術,克里斯沃斯,前FBI談判專家的實戰技巧。
時間管理術,凱文克魯斯,提升效率與生活品質的關鍵方法。
品牌打造戰略,馬丁林斯壯,建立持久品牌力的策略與案例。
